"filename", "language", "Solidity", "Markdown", "JSON", "HTML", "Python", "JavaScript", "TypeScript", "XML", "CSS", "SCSS", "JSON with Comments", "TypeScript JSX", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\static\css\row.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\static\fonts\fonts.py", "Python", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\static\fonts\jet_brains_mono\README.md", "Markdown", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 49
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\static\js\__init__.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\static\js\velvet-framework.js", "JavaScript", 0, 0, 0, 0, 0, 617, 0, 0, 0, 0, 0, 0, 935, 87, 1639
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\static\json\init.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 7, 16
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\static\json\settings.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\static\json\silicon-dream-v1.0.0.js", "JavaScript", 0, 0, 0, 0, 0, 683, 0, 0, 0, 0, 0, 0, 33, 64, 780
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\static\json\styles.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\wsl.localhost\Ubuntu\home\abstraction\dreamcatcher\dump\app2\static\json\update.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
